Link,ARC Code,Description,Recommendations,Recommended $ Savings,Average Payback (yrs),Implementation Rate
https://iac.university/recommendationTypes/3.31,3.3100,General,451,"$27,391,776",1.7,28.3%
https://iac.university/recommendationTypes/3.41,3.4100,General,"2,607","$55,096,248",1.3,42.5%
https://iac.university/recommendationTypes/3.51,3.5100,Liquid Waste,253,"$7,054,323",1.2,34.7%
https://iac.university/recommendationTypes/3.52,3.5200,Solid Waste,760,"$25,346,294",0.5,44.4%
https://iac.university/recommendationTypes/3.53,3.5300,Other Materials,"2,003","$36,983,086",1.1,46.2%
https://iac.university/recommendationTypes/3.61,3.6100,General,"1,479","$33,868,351",4.3,31.3%
https://iac.university/recommendationTypes/3.71,3.7100,Cleaning / Degreasing,361,"$3,770,053",0.6,36.3%
https://iac.university/recommendationTypes/3.72,3.7200,Spillage,124,"$4,231,567",0.7,48.7%
https://iac.university/recommendationTypes/3.73,3.7300,Other,144,"$2,191,519",0.7,72.3%
https://iac.university/recommendationTypes/3.81,3.8100,Solvents,408,"$8,198,403",1.5,29.3%
https://iac.university/recommendationTypes/3.82,3.8200,Other Solutions,61,"$506,350",0.7,47.5%
https://iac.university/recommendationTypes/3.83,3.8300,Solids,28,"$731,080",0.9,23.1%
https://iac.university/recommendationTypes/4.11,4.1100,Bottleneck Reduction,720,"$149,569,424",1.1,37.4%
https://iac.university/recommendationTypes/4.12,4.1200,Defect Reduction,296,"$38,375,983",0.7,39.6%
https://iac.university/recommendationTypes/4.13,4.1300,Material Reduction,246,"$30,737,641",1.2,37.9%
https://iac.university/recommendationTypes/4.21,4.2100,Raw Materials,257,"$27,194,706",1.3,29.7%
https://iac.university/recommendationTypes/4.22,4.2200,Ancillary Materials,28,"$951,025",2.6,40.7%
https://iac.university/recommendationTypes/4.23,4.2300,Capital,83,"$3,069,188",1.8,30.7%
https://iac.university/recommendationTypes/4.31,4.3100,Just in Time,34,"$2,525,524",0.5,57.6%
https://iac.university/recommendationTypes/4.32,4.3200,Other Inventory Controls,283,"$28,472,298",0.7,44.2%
https://iac.university/recommendationTypes/4.42,4.4200,Practices/Procedures,542,"$38,305,046",0.8,38.4%
https://iac.university/recommendationTypes/4.43,4.4300,Training,269,"$20,904,298",1.4,56.1%
https://iac.university/recommendationTypes/4.44,4.4400,Automation,816,"$89,318,939",1.1,30.4%
https://iac.university/recommendationTypes/4.45,4.4500,Scheduling,192,"$30,782,456",0.5,37.9%
https://iac.university/recommendationTypes/4.46,4.4600,MAINTENANCE,17,"$351,543",2.3,53.8%
https://iac.university/recommendationTypes/4.51,4.5100,Floor Layout,522,"$44,889,182",1.1,43.7%
https://iac.university/recommendationTypes/4.52,4.5200,Rental Space,161,"$15,154,207",0.6,37.7%
https://iac.university/recommendationTypes/4.61,4.6100,Maintenance,471,"$19,104,933",0.4,57.0%
https://iac.university/recommendationTypes/4.62,4.6200,Quick Change,177,"$22,563,549",0.6,51.8%
https://iac.university/recommendationTypes/4.63,4.6300,Power Conditioning,87,"$12,701,109",1.2,33.3%
https://iac.university/recommendationTypes/4.64,4.6400,Alarms,26,"$1,249,800",1.2,41.7%
https://iac.university/recommendationTypes/4.65,4.6500,Other Equipment,526,"$67,388,488",1.5,38.0%
https://iac.university/recommendationTypes/4.66,4.6600,SMART MANUFACTURING & INDUSTRIAL INTERNET OF THINGS (IIOT),66,"$4,294,682",0.7,68.0%
https://iac.university/recommendationTypes/4.71,4.7100,Total Quality Management,83,"$6,126,345",0.8,54.4%
https://iac.university/recommendationTypes/4.72,4.7200,Certifications,13,"$2,076,864",1.4,23.1%
https://iac.university/recommendationTypes/4.73,4.7300,Marketing,13,"$2,066,884",(-0.3),69.2%
https://iac.university/recommendationTypes/4.81,4.8100,Taxes,137,"$1,759,472",0.5,50.0%
https://iac.university/recommendationTypes/4.82,4.8200,Fees,397,"$1,185,970",0.1,71.2%
https://iac.university/recommendationTypes/2.111,2.1110,Operations,450,"$26,136,328",1.0,41.6%
https://iac.university/recommendationTypes/2.112,2.1120,Hardware,495,"$10,793,847",1.2,36.7%
https://iac.university/recommendationTypes/2.113,2.1130,Maintenance,649,"$12,612,709",0.9,57.7%
https://iac.university/recommendationTypes/2.121,2.1210,Operation,466,"$10,328,758",2.5,30.3%
https://iac.university/recommendationTypes/2.122,2.1220,Hardware,730,"$29,714,799",2.5,32.3%
https://iac.university/recommendationTypes/2.123,2.1230,Maintenance,"2,911","$33,570,429",0.7,68.8%
https://iac.university/recommendationTypes/2.124,2.1240,Blowdown,309,"$4,206,307",1.5,37.0%
https://iac.university/recommendationTypes/2.131,2.1310,Electric to Fossil Fuel,"1,619","$33,341,592",2.0,26.6%
https://iac.university/recommendationTypes/2.132,2.1320,Fossil Fuel to Electric,156,"$9,301,088",2.2,29.4%
https://iac.university/recommendationTypes/2.133,2.1330,Alternate Fuel,355,"$58,800,005",2.1,33.7%
https://iac.university/recommendationTypes/2.139,2.1390,Miscellaneous,50,"$3,540,863",1.8,28.3%
https://iac.university/recommendationTypes/2.211,2.2110,Traps,445,"$15,145,662",0.6,77.5%
https://iac.university/recommendationTypes/2.212,2.2120,Condensate,849,"$27,918,703",1.2,53.9%
https://iac.university/recommendationTypes/2.213,2.2130,Leaks and Insulation,"2,437","$46,138,375",1.5,69.7%
https://iac.university/recommendationTypes/2.214,2.2140,Distillation,7,"$524,121",1.8,16.7%
https://iac.university/recommendationTypes/2.215,2.2150,Maintenance,58,"$3,544,354",0.6,59.6%
https://iac.university/recommendationTypes/2.216,2.2160,Operations,220,"$4,689,653",0.5,47.6%
https://iac.university/recommendationTypes/2.219,2.2190,Miscellaneous,28,"$1,320,497",2.1,28.0%
https://iac.university/recommendationTypes/2.221,2.2210,Operation,224,"$4,596,397",0.5,48.8%
https://iac.university/recommendationTypes/2.222,2.2220,Hardware,83,"$1,498,345",1.3,48.1%
https://iac.university/recommendationTypes/2.231,2.2310,General,111,"$8,970,247",2.0,27.6%
https://iac.university/recommendationTypes/2.241,2.2410,Flue Gas Recuperation,"1,858","$61,733,622",1.9,19.5%
https://iac.university/recommendationTypes/2.242,2.2420,Flue Gas - Other Uses,579,"$31,351,867",2.0,25.2%
https://iac.university/recommendationTypes/2.243,2.2430,Heat Recovery from Specific Equipment,"3,491","$63,065,391",1.4,31.5%
https://iac.university/recommendationTypes/2.244,2.2440,Other Process Waste Heat,"1,329","$48,722,656",1.6,28.3%
https://iac.university/recommendationTypes/2.249,2.2490,Miscellaneous,144,"$3,275,015",2.3,17.3%
https://iac.university/recommendationTypes/2.251,2.2510,Insulation,"5,074","$38,131,352",1.2,46.3%
https://iac.university/recommendationTypes/2.252,2.2520,Isolation,302,"$2,992,884",1.2,48.6%
https://iac.university/recommendationTypes/2.253,2.2530,Infiltration,290,"$2,044,696",1.1,47.0%
https://iac.university/recommendationTypes/2.261,2.2610,Cooling Towers,596,"$9,684,637",46.1,28.0%
https://iac.university/recommendationTypes/2.262,2.2620,Chillers and Refrigeration,"1,186","$32,401,525",5.4,35.9%
https://iac.university/recommendationTypes/2.269,2.2690,Miscellaneous,252,"$5,651,002",2.5,36.4%
https://iac.university/recommendationTypes/2.271,2.2710,Use of Air,64,"$792,142",1.3,40.6%
https://iac.university/recommendationTypes/2.311,2.3110,Thermal Energy Storage,70,"$4,388,655",3.8,15.5%
https://iac.university/recommendationTypes/2.313,2.3130,Scheduling,"2,381","$28,091,409",0.4,41.9%
https://iac.university/recommendationTypes/2.319,2.3190,Miscellaneous,673,"$13,029,334",1.2,36.3%
https://iac.university/recommendationTypes/2.321,2.3210,General,"2,532","$33,477,598",2.0,37.7%
https://iac.university/recommendationTypes/2.331,2.3310,DC,39,"$1,382,388",5.6,41.2%
https://iac.university/recommendationTypes/2.332,2.3320,AC,75,"$16,086,285",4.1,15.7%
https://iac.university/recommendationTypes/2.341,2.3410,General,627,"$222,310,058",4.1,11.8%
https://iac.university/recommendationTypes/2.351,2.3510,Transformers,134,"$2,814,534",2.2,29.0%
https://iac.university/recommendationTypes/2.352,2.3520,Conductor Size,12,"$159,509",1.4,41.7%
https://iac.university/recommendationTypes/2.411,2.4110,Operation,"5,324","$19,571,643",0.8,55.3%
https://iac.university/recommendationTypes/2.413,2.4130,Hardware,"5,941","$39,282,981",3.8,62.0%
https://iac.university/recommendationTypes/2.414,2.4140,Motor System Drives,"4,414","$89,494,296",3.2,31.5%
https://iac.university/recommendationTypes/2.415,2.4150,Motor Maintenance/Repair,963,"$6,142,593",1.2,78.0%
https://iac.university/recommendationTypes/2.422,2.4220,Hardware,"8,035","$44,206,058",1.1,46.9%
https://iac.university/recommendationTypes/2.423,2.4230,Operations,"18,663","$111,358,360",0.5,67.7%
https://iac.university/recommendationTypes/2.431,2.4310,Operations,"1,741","$6,784,745",0.5,46.4%
https://iac.university/recommendationTypes/2.432,2.4320,Hardware,"2,021","$70,168,320",2.3,42.3%
https://iac.university/recommendationTypes/2.511,2.5110,Thermal,79,"$3,297,363",2.5,27.1%
https://iac.university/recommendationTypes/2.512,2.5120,Mechanical,202,"$3,623,465",1.3,39.6%
https://iac.university/recommendationTypes/2.519,2.5190,Miscellaneous,276,"$15,026,545",1.5,33.2%
https://iac.university/recommendationTypes/2.612,2.6120,General,611,"$3,778,000",0.4,66.8%
https://iac.university/recommendationTypes/2.621,2.6210,Equipment Use Reduction,"4,085","$30,619,809",0.5,56.2%
https://iac.university/recommendationTypes/2.622,2.6220,Equipment Scheduling,437,"$8,502,546",0.6,61.8%
https://iac.university/recommendationTypes/2.623,2.6230,Equipment Automation,"1,913","$14,343,261",0.9,48.6%
https://iac.university/recommendationTypes/2.624,2.6240,Load Reduction,184,"$2,291,986",0.7,48.5%
https://iac.university/recommendationTypes/2.711,2.7110,Level,"2,169","$10,090,316",0.4,51.9%
https://iac.university/recommendationTypes/2.712,2.7120,Operation,"2,281","$9,291,343",0.7,58.4%
https://iac.university/recommendationTypes/2.713,2.7130,Controls,"7,185","$19,988,291",1.3,42.8%
https://iac.university/recommendationTypes/2.714,2.7140,Hardware,"20,299","$153,482,492",2.6,57.7%
https://iac.university/recommendationTypes/2.721,2.7210,Maintenance,207,"$1,334,992",1.0,64.0%
https://iac.university/recommendationTypes/2.722,2.7220,Operation,"3,019","$29,182,160",1.7,53.7%
https://iac.university/recommendationTypes/2.723,2.7230,Hardware - Heating / Cooling,"1,776","$32,906,184",3.1,34.4%
https://iac.university/recommendationTypes/2.724,2.7240,Hardware - Air Circulation,"1,558","$17,190,621",2.0,30.6%
https://iac.university/recommendationTypes/2.725,2.7250,Evaporation,142,"$2,481,615",3.3,19.2%
https://iac.university/recommendationTypes/2.726,2.7260,Controls,"2,402","$12,574,932",0.7,56.0%
https://iac.university/recommendationTypes/2.727,2.7270,Humidity Control,93,"$5,458,279",1.1,36.5%
https://iac.university/recommendationTypes/2.729,2.7290,Miscellaneous,107,"$1,914,319",1.4,38.0%
https://iac.university/recommendationTypes/2.731,2.7310,General,"1,046","$13,661,612",1.1,42.8%
https://iac.university/recommendationTypes/2.742,2.7420,Solar Loading,368,"$6,055,252",2.5,42.5%
https://iac.university/recommendationTypes/2.744,2.7440,Infiltration,"2,314","$12,047,045",1.2,51.0%
https://iac.university/recommendationTypes/2.749,2.7490,Miscellaneous,"1,104","$10,988,582",2.9,37.0%
https://iac.university/recommendationTypes/2.811,2.8110,Utility Costs,"1,811","$61,395,645",1.7,41.8%
https://iac.university/recommendationTypes/2.812,2.8120,Fiscal,"1,332","$18,674,622",0.2,71.8%
https://iac.university/recommendationTypes/2.821,2.8210,Shipping,24,"$1,627,098",1.0,41.7%
https://iac.university/recommendationTypes/2.822,2.8220,Vehicles,134,"$2,817,467",2.1,28.9%
https://iac.university/recommendationTypes/2.911,2.9110,Solar,833,"$52,814,290",8.5,15.5%
https://iac.university/recommendationTypes/2.912,2.9120,Wind Power,22,"$14,525,446",6.4,10.0%
https://iac.university/recommendationTypes/2.913,2.9130,Hydrogen,4,"$886,862",4.6,0.0%
https://iac.university/recommendationTypes/2.914,2.9140,Biofuels,13,"$7,617,957",5.8,33.3%
https://iac.university/recommendationTypes/3.111,3.1110,Process Specific,5,"$65,410",0.2,60.0%
https://iac.university/recommendationTypes/3.112,3.1120,Material Application,15,"$337,731",0.7,30.8%
https://iac.university/recommendationTypes/3.113,3.1130,Stripping,4,"$8,121",0.9,50.0%
https://iac.university/recommendationTypes/3.114,3.1140,Scheduling,-,-,-,-%
https://iac.university/recommendationTypes/3.115,3.1150,Desulfurization / Slag Management,4,"$370,690",0.5,50.0%
https://iac.university/recommendationTypes/3.116,3.1160,Reduction / Elimination,344,"$10,907,585",0.9,33.9%
https://iac.university/recommendationTypes/3.117,3.1170,Product Specifications,75,"$3,017,270",0.8,32.9%
https://iac.university/recommendationTypes/3.118,3.1180,By-product Use,60,"$16,165,361",1.5,30.0%
https://iac.university/recommendationTypes/3.119,3.1190,Miscellaneous,688,"$49,403,112",1.1,44.3%
https://iac.university/recommendationTypes/3.122,3.1220,Rinsing Strategies,29,"$487,101",1.2,48.1%
https://iac.university/recommendationTypes/3.124,3.1240,Dragout Reduction,33,"$1,251,953",0.4,51.5%
https://iac.university/recommendationTypes/3.129,3.1290,Miscellaneous,43,"$698,393",1.2,41.5%
https://iac.university/recommendationTypes/3.131,3.1310,General,-,-,-,-%
https://iac.university/recommendationTypes/3.211,3.2110,Fault Tolerance,15,"$1,083,191",0.4,46.2%
https://iac.university/recommendationTypes/3.212,3.2120,Painting Operations,332,"$16,306,742",0.6,37.9%
https://iac.university/recommendationTypes/3.213,3.2130,Process Specific Upgrades,9,"$287,523",0.4,66.7%
https://iac.university/recommendationTypes/3.214,3.2140,Tank Design,4,"$23,713",0.3,25.0%
https://iac.university/recommendationTypes/3.216,3.2160,System Monitoring,7,"$675,786",0.6,28.6%
https://iac.university/recommendationTypes/3.217,3.2170,Automation,146,"$13,524,028",1.3,29.5%
https://iac.university/recommendationTypes/3.311,3.3110,Neutralization,19,"$1,377,536",1.7,21.1%
https://iac.university/recommendationTypes/3.312,3.3120,Removal of Contaminants,225,"$22,080,933",1.7,27.3%
https://iac.university/recommendationTypes/3.313,3.3130,Material Concentration,207,"$3,933,307",1.6,29.9%
https://iac.university/recommendationTypes/3.411,3.4110,Close Cycle Water Use,"1,310","$35,032,669",1.4,38.4%
https://iac.university/recommendationTypes/3.413,3.4130,Water Quality,42,"$3,559,038",2.1,42.1%
https://iac.university/recommendationTypes/3.414,3.4140,Water Treatment,47,"$1,371,773",2.4,20.5%
https://iac.university/recommendationTypes/3.415,3.4150,Reduction,"1,208","$15,132,768",1.2,48.1%
https://iac.university/recommendationTypes/3.511,3.5110,Oil,92,"$2,064,984",0.9,32.6%
https://iac.university/recommendationTypes/3.512,3.5120,Ink,31,"$622,984",0.8,46.4%
https://iac.university/recommendationTypes/3.513,3.5130,White Water,56,"$2,803,838",1.2,37.0%
https://iac.university/recommendationTypes/3.514,3.5140,Miscellaneous,74,"$1,562,517",1.7,30.9%
https://iac.university/recommendationTypes/3.521,3.5210,General,511,"$14,935,609",0.4,44.3%
https://iac.university/recommendationTypes/3.522,3.5220,Sand,43,"$4,925,636",1.0,38.5%
https://iac.university/recommendationTypes/3.524,3.5240,Metals,206,"$5,485,049",0.7,45.6%
https://iac.university/recommendationTypes/3.531,3.5310,General,"2,003","$36,983,086",1.1,46.2%
https://iac.university/recommendationTypes/3.611,3.6110,Sludge Maintenance,94,"$3,030,215",2.4,34.1%
https://iac.university/recommendationTypes/3.612,3.6120,Combustion of Waste Products,254,"$9,421,361",1.8,15.6%
https://iac.university/recommendationTypes/3.619,3.6190,Miscellaneous,"1,131","$21,416,774",5.1,34.6%
https://iac.university/recommendationTypes/3.711,3.7110,Mechanical Cleaning,7,"$36,610",0.7,42.9%
https://iac.university/recommendationTypes/3.712,3.7120,Reduction of Cleaning,28,"$409,311",0.7,50.0%
https://iac.university/recommendationTypes/3.713,3.7130,Rag Use,157,"$920,198",0.3,35.7%
https://iac.university/recommendationTypes/3.714,3.7140,Preventive Maintenance,16,"$508,013",0.4,56.3%
https://iac.university/recommendationTypes/3.719,3.7190,Miscellaneous,153,"$1,895,922",0.9,32.0%
https://iac.university/recommendationTypes/3.721,3.7210,Operations,99,"$3,373,803",0.6,49.5%
https://iac.university/recommendationTypes/3.722,3.7220,Hardware,25,"$857,764",1.1,45.0%
https://iac.university/recommendationTypes/3.731,3.7310,Leak Reduction,130,"$1,945,754",0.7,71.8%
https://iac.university/recommendationTypes/3.739,3.7390,Miscellaneous,14,"$245,765",0.7,76.9%
https://iac.university/recommendationTypes/3.811,3.8110,Use Reduction,9,"$150,600",0.4,75.0%
https://iac.university/recommendationTypes/3.812,3.8120,Emission Reduction,66,"$3,311,015",1.7,30.0%
https://iac.university/recommendationTypes/3.813,3.8130,Material Replacement,170,"$1,989,403",1.0,34.5%
https://iac.university/recommendationTypes/3.814,3.8140,Solvent Recovery,163,"$2,747,385",2.0,21.4%
https://iac.university/recommendationTypes/3.821,3.8210,Water-Based Substitutes,36,"$282,053",0.9,51.4%
https://iac.university/recommendationTypes/3.822,3.8220,Other Substitutes,25,"$224,297",0.3,41.7%
https://iac.university/recommendationTypes/3.831,3.8310,General,28,"$731,080",0.9,23.1%
https://iac.university/recommendationTypes/4.111,4.1110,ADD EQUIPMENT/ OPERATORS TO REDUCE PRODUCTION BOTTLENECK,530,"$107,936,402",1.0,38.1%
https://iac.university/recommendationTypes/4.112,4.1120,REPLACE OLD MACHINE WITH NEW AUTOMATIC MULTI-STATION TOOL,100,"$21,053,800",1.7,32.3%
https://iac.university/recommendationTypes/4.113,4.1130,INSTALL REFRIGERATION SYSTEM TO COOL PRODUCT,26,"$9,141,189",1.1,40.0%
https://iac.university/recommendationTypes/4.114,4.1140,ADD/MODIFY EQUIPMENT TO IMPROVE DRYING PROCESS,64,"$11,438,033",0.9,38.6%
https://iac.university/recommendationTypes/4.121,4.1210,MAINTAIN CLEAN CONDITIONS BEFORE PAINTING,15,"$1,988,382",0.6,28.6%
https://iac.university/recommendationTypes/4.122,4.1220,DEVELOP STANDARD PROCEDURES TO IMPROVE INTERNAL YIELDS,161,"$21,083,324",0.5,43.0%
https://iac.university/recommendationTypes/4.123,4.1230,REDUCE DEFECTS BY REDUCING PRODUCT TIPPING,21,"$1,303,459",0.6,31.6%
https://iac.university/recommendationTypes/4.124,4.1240,INSTALL CONTINUOUS LUBRICATION EQUIPMENT,6,"$491,250",1.5,20.0%
https://iac.university/recommendationTypes/4.126,4.1260,INSTALL SENSORS TO DETECT DEFECTS,51,"$10,604,359",1.0,36.2%
https://iac.university/recommendationTypes/4.131,4.1310,MODIFY PROCESS TO REDUCE MATERIAL USE/COST,163,"$20,962,183",1.0,40.0%
https://iac.university/recommendationTypes/4.132,4.1320,PURCHASE NEW EQUIPMENT TO REDUCE MATERIAL USE / COST,83,"$9,775,458",1.6,34.2%
https://iac.university/recommendationTypes/4.211,4.2110,CONSIDER USE / PURCHASE OF BULK MATERIALS WHERE POSSIBLE,112,"$6,139,622",0.9,26.6%
https://iac.university/recommendationTypes/4.212,4.2120,ADOPT IN-HOUSE MATERIAL GENERATION,111,"$18,487,855",2.0,27.0%
https://iac.university/recommendationTypes/4.213,4.2130,PURCHASE MATERIAL FROM SUPPLIER IN CUSTOMIZED PACKAGING,18,"$937,400",0.2,44.4%
https://iac.university/recommendationTypes/4.214,4.2140,PURCHASE APPROPRIATELY SIZED MATERIAL,16,"$1,629,829",0.5,50.0%
https://iac.university/recommendationTypes/4.221,4.2210,USE ONLY AMOUNT OF PACKAGING MATERIAL NECESSARY,11,"$635,108",0.9,36.4%
https://iac.university/recommendationTypes/4.222,4.2220,PURCHASE RE-CONDITIONED MATERIAL INSTEAD OF NEW,17,"$315,917",3.6,43.8%
https://iac.university/recommendationTypes/4.231,4.2310,PURCHASE EQUIPMENT INSTEAD OF LEASING,73,"$2,868,576",2.0,33.3%
https://iac.university/recommendationTypes/4.232,4.2320,LEASE EQUIPMENT INSTEAD OF PURCHASING,10,"$200,612",0.0,11.1%
https://iac.university/recommendationTypes/4.311,4.3110,SCHEDULE DELIVERIES ACCORDING TO DEMAND,34,"$2,525,524",0.5,57.6%
https://iac.university/recommendationTypes/4.321,4.3210,OPTIMIZE PRODUCTION LOT SIZES AND INVENTORIES,114,"$10,390,536",0.6,40.0%
https://iac.university/recommendationTypes/4.322,4.3220,ELIMINATE OLD STOCK AND MODIFY INVENTORY CONTROL,139,"$14,288,211",0.8,44.2%
https://iac.university/recommendationTypes/4.323,4.3230,OPTIMIZE LOT SIZES TO REDUCE INVENTORY CARRYING COSTS,30,"$3,793,551",0.5,61.5%
https://iac.university/recommendationTypes/4.421,4.4210,MODIFY CURRENT INCENTIVE PROGRAM,78,"$7,044,195",0.6,47.1%
https://iac.university/recommendationTypes/4.422,4.4220,UTILIZE OUTSIDE CONTRACTING,20,"$1,052,023",0.4,26.3%
https://iac.university/recommendationTypes/4.423,4.4230,MOVE PRODUCT USING MECHANICAL MEANS,163,"$12,418,146",1.0,33.3%
https://iac.university/recommendationTypes/4.424,4.4240,IMPROVE SPACE COMFORT CONDITIONING,156,"$6,173,472",1.0,37.4%
